id,name,price ,description
1,Scion,807.38,Public-key actuating archive
2,Hyundai,820.27,Face to face next generation throughput
3,Lincoln,643.33,Realigned optimizing moratorium
4,Dodge,735.65,Progressive analyzing encoding
5,Toyota,264.09,Managed fault-tolerant task-force
6,Subaru,30.11,Up-sized even-keeled analyzer
7,Bentley,321.04,Horizontal optimal architecture
8,Infiniti,2.46,Organized background process improvement
9,Eagle,314.58,Extended systemic time-frame
10,Oldsmobile,145.89,Robust even-keeled internet solution
